ID_Transaksi,Tanggal,Nama_barang,Jumlah,Satuan
TRX-001,2026 - 5 - 18,Telor,0.5,Kg
TRX-001,2026 - 5 - 18,Bawang Merah,1,Ons
TRX-001,2026 - 5 - 18,Bawang Putih,0.5,Ons
TRX-002,2026 - 5 - 18,Rokok Jarum Super,1,Bungkus
TRX-002,2026 - 5 - 18,Chiki Balls,2,Bungkus
TRX-003,2026 - 5 - 18,Choki Choki,3,Bungkus
TRX-004,2026 - 5 - 18,Air mineral,2,Botol
TRX-004,2026 - 5 - 18,Permen,2,Pcs
TRX-005,2026 - 5 - 18,Teh pucuk,2,Botol
TRX-006,2026 - 5 - 18,Wafer Super Star,3,Bungkus
TRX-006,2026 - 5 - 18,Permen,3,Pcs
TRX-007,2026 - 5 - 18,Permen,1,Pcs
TRX-007,2026 - 5 - 18,Chitato,1,Bungkus
TRX-008,2026 - 5 - 18,Permen,3,Pcs
TRX-008,2026 - 5 - 18,Cheetos,2,Bungkus
TRX-009,2026 - 5 - 18,Permen,4,Pcs
TRX-009,2026 - 5 - 18,Biskuit Arden,2,Bungkus
TRX-010,2026 - 5 - 18,Map,1,Lembar
TRX-011,2026 - 5 - 18,Map,1,Lembar
TRX-012,2026 - 5 - 18,Rokok Jarum Super,1,Bungkus
TRX-012,2026 - 5 - 18,Rokok Jarum Coklat,0.5,Bungkus
TRX-013,2026 - 5 - 18,Materai,2,Lembar
TRX-013,2026 - 5 - 18,Pembalut,6,Bungkus
TRX-013,2026 - 5 - 18,Bodrex,1,Strip
TRX-014,2026 - 5 - 18,Gula Pasir,0.25,Kg
TRX-014,2026 - 5 - 18,Kapur Sirih,4,Bungkus
TRX-015,2026 - 5 - 18,Tepung Tapioka,1.5,Kg
TRX-015,2026 - 5 - 18,Tepung Terigu,0.25,Kg
TRX-015,2026 - 5 - 18,Bawang Putih,0.5,Ons
TRX-016,2026 - 5 - 18,Air Mineral,1,Botol
TRX-016,2026 - 5 - 18,Biskuit Roma,1,Bungkus
TRX-017,2026 - 5 - 18,Sabun Sunlight,1,Bungkus
TRX-018,2026 - 5 - 18,Rokok Jarum Super,1,Bungkus
TRX-019,2026 - 5 - 18,Minyak Goreng Curah,1,Kg
TRX-019,2026 - 5 - 18,Tepung Terigu,1,Kg
TRX-020,2026 - 5 - 19,Indomie Rebus,1,Bungkus
TRX-020,2026 - 5 - 19,Sabun Sunlight,1,Bungkus
TRX-021,2026 - 5 - 19,Permen,6,Pcs
TRX-022,2026 - 5 - 19,Rokok Jarum Coklat,1,Bungkus
TRX-023,2026 - 5 - 19,Puring Nasi,3,Lembar
TRX-024,2026 - 5 - 19,Wafer Super Star,3,Bungkus
TRX-024,2026 - 5 - 19,Permen,3,Pcs
TRX-025,2026 - 5 - 19,Biskuit Arden,3,Bungkus
TRX-025,2026 - 5 - 19,Permen,1,Pcs
TRX-026,2026 - 5 - 19,Air Mineral,1,Botol
TRX-027,2026 - 5 - 19,Choki Choki,3,Bungkus
TRX-028,2026 - 5 - 19,Chiki Balls,1,Bungkus
TRX-029,2026 - 5 - 19,Chitato,1,Bungkus
TRX-029,2026 - 5 - 19,Permen ,1,Pcs
TRX-030,2026 - 5 - 19,Baterai,2,Pcs
TRX-031,2026 - 5 - 19,Wafer Super Star,2,Bungkus
TRX-031,2026 - 5 - 19,Air Mineral,1,Botol
TRX-032,2026 - 5 - 19,Permen,1,Pcs
TRX-033,2026 - 5 - 19,Tepung Tapioka,2.5,Kg
TRX-033,2026 - 5 - 19,Minyak Goreng Curah,0.25,Kg
TRX-033,2026 - 5 - 19,Masako,6,Bungkus
TRX-033,2026 - 5 - 19,Ladaku,1,Bungkus
TRX-033,2026 - 5 - 19,Bawang Putih,0.5,Ons
TRX-034,2026 - 5 - 19,Minyak Goreng Curah,0.25,Kg
TRX-035,2026 - 5 - 19,Rokok Jarum Super,1,Bungkus
TRX-036,2026 - 5 - 19,Rokok Jarum Coklat,1,Bungkus
TRX-037,2026 - 5 - 19,Kopi Kapal Api,1,Bungkus
TRX-038,2026 - 5 - 19,Cheetos,1,Bungkus
TRX-039,2026 - 5 - 20,Gilet Alat Cukur,1,Pcs
TRX-040,2026 - 5 - 20,Detergen Rinso,3,Bungkus
TRX-040,2026 - 5 - 20,Wafer Super Star,2,Bungkus
TRX-041,2026 - 5 - 20,Kopi Kapal Api,3,Bungkus
TRX-041,2026 - 5 - 20,Rokok Jarum Super,2,Bungkus
TRX-042,2026 - 5 - 20,Telor,0.5,Kg
TRX-042,2026 - 5 - 20,Gula Pasir,0.25,Kg
TRX-042,2026 - 5 - 20,Kopi Kapal Api,1,Bungkus
TRX-042,2026 - 5 - 20,Kue,1,Bungkus
TRX-042,2026 - 5 - 20,Sasa,1,Bungkus
TRX-042,2026 - 5 - 20,Kamper,1,Bungkus
TRX-043,2026 - 5 - 20,Chiki Chitato,1,Bungkus
TRX-044,2026 - 5 - 20,Chiki Chitato,1,Bungkus
TRX-044,2026 - 5 - 20,Permen,1,Pcs
TRX-045,2026 - 5 - 20,Biskuit Arden,2,Bungkus
TRX-045,2026 - 5 - 20,Cokelat,1,Bungkus
TRX-045,2026 - 5 - 20,Permen,3,Pcs
TRX-046,2026 - 5 - 20,Pahpir,4,Bungkus
TRX-047,2026 - 5 - 20,Teh pucuk,1,Botol
TRX-047,2026 - 5 - 20,Permen,1,Pcs
TRX-048,2026 - 5 - 20,Tepung Terigu,1,Kg
TRX-048,2026 - 5 - 20,Minyak Goreng Curah,1,Kg
TRX-048,2026 - 5 - 20,Garam,1,Bungkus
TRX-049,2026 - 5 - 20,Shampo,2,Bungkus
TRX-049,2026 - 5 - 20,Pembalut,4,Bungkus
TRX-050,2026 - 5 - 20,Gula Merah,3,Buah
TRX-051,2026 - 5 - 20,Kopi ABC,2,Bungkus
TRX-052,2026 - 5 - 20,Sabun Mandi,1,Bungkus
TRX-053,2026 - 5 - 20,Shampo,2,Bungkus
TRX-054,2026 - 5 - 20,Permen,2,Pcs
TRX-055,2026 - 5 - 20,Materai,2,Lembar
TRX-055,2026 - 5 - 20,Map,1,Lembar
TRX-056,2026 - 5 - 20,Permen,1,Pcs
TRX-057,2026 - 5 - 20,Teh Gelas,1,Cup
TRX-057,2026 - 5 - 20,Permen,3,Pcs
TRX-058,2026 - 5 - 20,Wafer Super Star,4,Bungkus
TRX-058,2026 - 5 - 20,Indomie Rebus,2,Bungkus
TRX-058,2026 - 5 - 20,Telor,0.25,Kg
TRX-059,2026 - 5 - 20,Rokok Jarum Coklat,2,Bungkus
TRX-060,2026 - 5 - 20,Rokok Jarum Super,1,Bungkus
TRX-061,2026 - 5 - 20,Kopi Good day,2,Bungkus
TRX-062,2026 - 5 - 20,Tolak Angin,1,Bungkus
TRX-062,2026 - 5 - 20,Wafer Super Star,2,Bungkus
TRX-063,2026 - 5 - 20,Rokok Jarum Super,3,Batang
TRX-063,2026 - 5 - 20,Energen,1,Bungkus
TRX-064,2026 - 5 - 21,Rautan Pensil,1,Pcs
TRX-065,2026 - 5 - 21,Materai,1,Lembar
TRX-066,2026 - 5 - 21,Materai,1,Lembar
TRX-067,2026 - 5 - 21,Tepung Tapioka,3.25,Kg
TRX-067,2026 - 5 - 21,Minyak Goreng Curah,0.5,Kg
TRX-067,2026 - 5 - 21,Masako,10,Bungkus
TRX-067,2026 - 5 - 21,Ladaku,1,Bungkus
TRX-068,2026 - 5 - 21,Permen,6,Pcs
TRX-069,2026 - 5 - 21,Rokok Jarum Super,1,Bungkus
TRX-070,2026 - 5 - 21,Rokok Jarum Coklat,1,Bungkus
TRX-071,2026 - 5 - 21,Gula Merah,2,Buah
TRX-072,2026 - 5 - 21,Rokok Jarum Coklat,6,Batang
TRX-073,2026 - 5 - 21,Rokok Jarum Coklat,6,Batang
TRX-074,2026 - 5 - 22,Tepung Terigu,0.25,Kg
TRX-075,2026 - 5 - 22,Rokok Jarum Coklat,2,Batang
TRX-076,2026 - 5 - 22,Telor,0.5,Kg
TRX-076,2026 - 5 - 22,Wafer Super Star,2,Bungkus
TRX-077,2026 - 5 - 22,Rokok Jarum,1,Bungkus
TRX-078,2026 - 5 - 22,Rokok Jarum Coklat,6,Batang
TRX-079,2026 - 5 - 22,Rokok Jarum Coklat,6,Batang
TRX-079,2026 - 5 - 22,Rokok Jarum Super,1,Bungkus
TRX-080,2026 - 5 - 22,Minyak Goreng Curah,0.5,Kg
TRX-081,2026 - 5 - 22,Rokok Jarum Coklat,6,Batang
TRX-082,2026 - 5 - 22,Garam,1,Bungkus
TRX-082,2026 - 5 - 22,Kopi Good day,1,Bungkus
TRX-083,2026 - 5 - 22,Bawang Merah,1,Ons
TRX-084,2026 - 5 - 22,Energen,2,Bungkus
TRX-085,2026 - 5 - 23,Pampers,1,Pcs
TRX-086,2026 - 5 - 23,Gas LPG,1,Tabung
TRX-087,2026 - 5 - 23,Rokok Jarum Super,1,Bungkus
TRX-087,2026 - 5 - 23,Kopi Kapal Api,1,Bungkus
TRX-088,2026 - 5 - 23,Kopi Kapal Api,1,Bungkus
TRX-089,2026 - 5 - 23,Rokok Jarum Coklat,6,Batang
TRX-089,2026 - 5 - 23,Kopi Kapal Api,1,Bungkus
TRX-090,2026 - 5 - 23,Bawang Merah,0.5,Ons
TRX-090,2026 - 5 - 23,Sasa,1,Bungkus
TRX-091,2026 - 5 - 23,Tepung Terigu,2,Kg
TRX-091,2026 - 5 - 23,Minyak Goreng Curah,1,Kg
TRX-091,2026 - 5 - 23,Gula Pasir,0.5,Kg
TRX-091,2026 - 5 - 23,Garam,1,Bungkus
TRX-092,2026 - 5 - 23,Minyak Goreng Curah,0.5,Kg
TRX-092,2026 - 5 - 23,Sabun Sunlight,1,Bungkus
TRX-092,2026 - 5 - 23,Rinso,1,Bungkus
TRX-093,2026 - 5 - 23,Rokok Jarum Super,5,Batang
TRX-094,2026 - 5 - 24,Kopi Kapal Api,9,Bungkus
TRX-095,2026 - 5 - 24,Rokok Jarum Coklat,1,Bungkus
TRX-095,2026 - 5 - 24,Rokok Jarum Super,2,Batang
TRX-096,2026 - 5 - 24,Telor,2,Butir
TRX-096,2026 - 5 - 24,Air Mineral,1,Botol
TRX-097,2026 - 5 - 24,Permen,2,Pcs
TRX-098,2026 - 5 - 24,Telor,0.25,Kg
TRX-098,2026 - 5 - 24,Permen,6,Pcs
TRX-099,2026 - 5 - 24,Telor,0.5,Kg
TRX-100,2026 - 5 - 24,Rokok Jarum Coklat,1,Bungkus
TRX-101,2026 - 5 - 24,Rokok Jarum Super,1,Bungkus
TRX-101,2026 - 5 - 24,Sabun Sunlight,1,Bungkus
TRX-102,2026 - 5 - 24,Telor,0.25,Kg
TRX-102,2026 - 5 - 24,Chiki Balls,1,Bungkus
TRX-102,2026 - 5 - 24,Royko,1,Bungkus
TRX-103,2026 - 5 - 25,Rokok Jarum Coklat,4,Batang
TRX-103,2026 - 5 - 25,Kopi Kapal Api,2,Bungkus
TRX-104,2026 - 5 - 25,Rokok Jarum Super,6,Batang
TRX-105,2026 - 5 - 25,Rokok Jarum Coklat,1,Bungkus
TRX-106,2026 - 5 - 25,Rokok Jarum Super,1,Bungkus
TRX-106,2026 - 5 - 25,Kopi Kapal Api,1,Bungkus
TRX-107,2026 - 5 - 25,Minyak Goreng Curah,1,Kg
TRX-108,2026 - 5 - 25,Telor,0.5,Kg
TRX-109,2026 - 5 - 25,Telor,0.25,Kg
TRX-110,2026 - 5 - 25,Lakban,3,Roll
TRX-111,2026 - 5 - 25,Air Mineral,1,Dus
TRX-112,2026 - 5 - 25,Kue,1,Bungkus
TRX-112,2026 - 5 - 25,Teh Gelas,1,Cup
TRX-113,2026 - 5 - 25,Energen,1,Bungkus
TRX-113,2026 - 5 - 25,Beng-Beng,1,Bungkus
TRX-114,2026 - 5 - 25,Tepung Terigu,2,Kg
TRX-114,2026 - 5 - 25,Minyak Goreng Curah,1,Kg
TRX-114,2026 - 5 - 25,Gula Pasir,0.25,Kg
